÷,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Label
532.5894326,51.82353682,336.6042782,134.4146769,63.37497047,989.9602324,322.353845,809.8744459,254.6406548,681.5027222,BENIGN
342.4752192,107.9624481,69.64586775,588.9360226,520.6553537,742.2010091,509.73551,422.44579,398.0871782,26.4469026,PortScan
507.4119387,874.2225247,493.5465803,702.258766,992.816839,131.4891199,274.7315255,394.5760756,421.8281785,411.0210753,BENIGN
204.2564679,626.8026301,358.7425105,995.6451767,480.1835153,485.8856062,565.8517874,916.7560031,800.8180999,451.1300698,DoS
990.505142,412.6176769,372.0180858,776.4129607,340.8035403,930.7573256,858.4127518,428.9940274,750.8710678,754.5428741,BENIGN
966.8655503,526.5949426,303.2810261,362.5832126,66.40535346,989.349514,39.29194515,654.9071231,442.7359277,948.9162182,PortScan
179.2556119,800.0034818,552.7070757,396.553682,131.7150286,865.2957589,157.2732082,309.7878592,290.045532,871.4140342,BENIGN
57.84267656,969.1026301,883.785885,927.7522832,994.9078226,173.8952492,396.2420189,758.2384757,696.0206181,153.8959063,BENIGN
938.3404568,181.2330662,66.49626737,741.1206493,574.4731132,841.8287768,139.7723766,795.2673119,201.62732,163.6559429,BENIGN
775.5276167,453.2888347,524.3902693,440.7627469,400.7630609,559.6403313,155.2402459,181.9281305,861.785621,946.1154621,BENIGN
236.0504633,73.49674733,169.7579051,519.7739486,337.0031764,828.8833659,430.8875237,248.7142726,617.1449866,706.7772169,BENIGN
258.7924084,316.4571309,86.96702026,303.2197838,966.5584394,944.7073817,334.8782901,570.8539363,909.5953911,6.183822641,DoS
839.4080376,448.170847,636.6929144,221.2378198,677.0737127,772.2402759,473.2131869,617.7269241,456.3259238,894.0913693,PortScan
758.2631959,24.58691646,22.12355153,323.6102191,488.6431904,770.4074178,683.2953766,445.9027064,273.6266663,997.1245002,BENIGN
720.3333692,918.2850354,408.0404616,191.277371,517.1179309,908.0836871,804.3744141,65.82984336,692.5728001,571.8975225,PortScan
631.5443787,542.9404445,129.380617,375.821219,99.14611228,622.9540442,446.8741952,777.9849716,220.470481,164.5660584,DoS
346.0997265,975.6102009,640.9720773,822.4805636,132.5246727,862.0144823,922.7571905,487.0619188,606.2529378,764.8098009,BENIGN
307.7709053,613.637903,897.9352934,809.9244203,583.1302191,730.2217178,364.8224702,640.9655281,466.1815911,189.9361365,DoS
907.0419604,991.5327758,208.31539,355.4393374,669.2190299,483.8025399,418.3895334,357.8112493,593.7806319,575.5934286,DoS
173.3735953,896.7654246,80.23374566,524.5113896,410.396827,982.3786169,112.0389022,397.855599,969.4704333,865.5071259,BENIGN
140.711528,202.0156684,184.2248392,893.98971,654.2925523,152.1042832,440.3234184,615.2980251,83.46408499,882.4163684,BENIGN
424.1850557,446.6887217,254.1472801,825.1348757,485.2556041,543.4058522,304.7609128,181.8084657,85.9103882,714.1191409,PortScan
767.2333942,205.8873108,321.6863687,465.4869724,943.1958497,931.7314248,206.8718754,358.2190412,149.3993885,509.9850793,PortScan
620.4737851,742.2531872,169.8810061,194.9751999,890.4095172,749.9777985,908.2284887,758.7153212,597.155306,654.132737,DoS
192.2579185,309.4695491,974.9042728,411.113417,444.7127769,576.54499,983.3407684,241.6012764,681.2821105,715.9846935,DoS
341.9052781,527.6774662,211.6358986,995.6311095,981.1179079,649.5089297,804.4140597,715.1001613,593.158219,53.34799699,DoS
51.68172117,531.3546316,540.6351216,637.4299015,726.0913337,975.8520795,516.3003483,322.9564729,795.1861948,270.8322513,BENIGN
156.3314384,437.0337254,396.8893931,743.5442696,580.7371398,388.133081,170.7602835,226.8371023,575.5010185,423.4388049,PortScan
